Lat,Long,Name,District,Type,Address
17.92377147,-87.96039589,Belize Bank Limited,Belize,ATM,"Pescador Drive, San Pedro Town"
17.91471058,-87.96740792,Belize Bank Limited,Belize,ATM,"Wings Plaza, San Pedro Town"
17.94616392,-87.94483327,Belize Bank Limited,Belize,ATM,"Beach Basket Belize, San Pedro Town"
17.5468745,-88.2878914,Belize Bank Limited,Belize,Branch,"Sky Plaza, 8 1/2 Miles Philip Goldson Highway, Ladyville"
17.53836498,-88.30801111,Belize Bank Limited,Belize,ATM,Philip Golson International Airport
17.50933899,-88.20457745,Belize Bank Limited,Belize,Branch,"The Matalon, Suite 100, Coney Drive, Belize City"
17.4947547,-88.18716543,Belize Bank Limited,Belize,Branch,"60 Market Square, Belize City"
17.50549795,-88.18836337,Belize Bank Limited,Belize,ATM,"Ramada by Wyndham Princess, Belize City"
17.49544624,-88.18652674,Belize Bank Limited,Belize,ATM,"North Front Street, Belize City"
17.49281329,-88.18105188,Belize Bank Limited,Belize,ATM,"Radisson Ft. George Hotel & Marina, Belize City"
17.50375343,-88.19691569,Belize Bank Limited,Belize,ATM,"Save U Supermarket, Belize City"
17.2514003,-88.77499713,Belize Bank Limited,Cayo,Branch,"Cor. Constitution and Melhado Drive, Belmopan City"
17.15875507,-89.07003356,Belize Bank Limited,Cayo,Branch,"16 Burns Avenue, San Ignacion Town"
17.16146877,-89.06159296,Belize Bank Limited,Cayo,ATM,"CP Gas Station, Santa Elena Town"
17.07718824,-89.13901103,Belize Bank Limited,Cayo,ATM,"Churchill Street, Benque Viejo Town"
16.96781664,-88.22142787,Belize Bank Limited,Stann Creek,Branch,"24 St. Vincent Street, Dangriga Town"
16.86368097,-88.28443161,Belize Bank Limited,Stann Creek,ATM,"Seafront Street, Dangriga Town"
16.52278967,-88.37068341,Belize Bank Limited,Stann Creek,Branch,"Placencia Plaza, Placencia Village"
17.49037748,-88.18696992,National Bank of Belize,Belize,Branch,"Regent Street, Belize City"
17.25084152,-88.78389281,National Bank of Belize,Cayo,Branch,"Forest Drive, Belmopan City"
17.15878961,-89.07203512,National Bank of Belize,Cayo,Service Centre,"28 Maya Street, San Ignacio Town"
18.08063101,-88.5614869,National Bank of Belize,Orange Walk,Service Centre,"Cor. Queen Victoria Avenue and Hospital Crescent, Orange Walk Town"
17.51931375,-88.18262294,St. John's Credit Union,Belize,Branch,"4 Basra Street, Belize City"
17.50501819,-88.19909861,St. John's Credit Union,Belize,Branch,"1 Mile Philip Goldson Highway, Belize City"
17.28081221,-88.73743249,St. John's Credit Union,Cayo,Branch,"76 Constitution Drive, Belmopan City"
16.96584674,-88.21984505,St. John's Credit Union,Stann Creek,Branch,"Corner Tubroose & Mahogany Street, Dangriga Town"
17.89632221,-88.90119993,Blue Creek Credit Union,Orange Walk,Branch,"Linda Vista, Blue Creek"
17.15742397,-89.07057162,St. Martin's Credit Union,Cayo,Branch,"Eve Street, San Ignacio Town"
17.0726846,-89.1364282,St. Martin's Credit Union,Cayo,Branch,"Caracol Lane, Benque Viejo Town"
17.50658516,-88.19657854,Evangel Credit Union,Belize,Branch,"31 Princess Margaret Drive, Belize City"
17.49720892,-88.18704078,Holy Redeemer,Belize,Branch,"1 Hydes Lane, Belize City"
16.53824424,-88.41735429,Holy Redeemer,Stann Creek,Branch,corner Fadden Ave & Mango Street
18.08024938,-88.56001035,La Inmaculada ,Orange Walk,Branch,5 Park Street
17.24929268,-88.77548271,La Inmaculada ,Belmopan,Branch,2 Forest Drive
17.23557808,-89.00279762,Spanish Lookout,Cayo,Branch,"Center Road, Spanish Lookout"
18.3924984,-88.38604252,St Francis Xavier,Corozal,Branch,79 Corner 5th Ave. & 1st Street
18.3544221,-88.14440959,St Francis Xavier,Corozal,Branch,Sarteneja Village
17.92015105,-87.96180206,St Francis Xavier,Belize,Branch,"Pescador Dr, San Pedro Town"
17.74263154,-88.02474127,St Francis Xavier,Belize,Branch,Caye Caulker Avenida Langosta
16.10030911,-88.80267795,Toledo Teachers  Credit Union,Toledo,Branch,"Queen St, Punta Gorda Town"
17.9659629,-87.8817942,Development Finance Corporation,Belize,Branch,"Island Plaza, Barrier Reef Drive, San Pedro Town"
18.393422,-88.3842756,Development Finance Corporation,Corozal,Branch,"Corner 4th Avenue & 3rd Street North, Corozal Town"
18.0797918,-88.5622718,Development Finance Corporation,Orange Walk,Branch,"47 Progress St., Orange Walk Town"
17.5101288,-88.2057702,Development Finance Corporation,Belize,Branch,"1140 Coney Drive, Belize City"
17.2490974,-88.7724485,Development Finance Corporation,Cayo,Branch,"Bliss Parade, Belmopan City"
16.9630375,-88.2204117,Development Finance Corporation,Stann Creek,Branch,"111 Saint Vincent Street, Dangriga Town"
